region,total_votes,winning_party,error
Ashanti,"2,077,744",NPP,False
Central,"931,908",NDC,False
Eastern,"1,032,934",NPP,False
Greater Accra,"1,685,718",NDC,False
Northern,"884,698",NDC,False
Upper East,"469,789",NDC,False
Upper West,"256,437",NDC,False
Volta,"300,489",NDC,False
Western,"341,208",NDC,False
Oti,"126,061",NDC,False
Bono East,"432,791",NDC,False
Ahafo,"189,685",NDC,False
Bono,"380,654",NDC,False
North East,"62,688",NPP,False
Savannah,"122,744",NDC,False
Western North,"251,440",NDC,False
